date,temperature_2m_mean,precipitation_sum,soil_moisture_deficit,solar_radiation_mj,gdd,cv_temperature,cv_precipitation,is_extreme_precipitation,is_heat_stress,is_humidity_above_threshold,is_wind_above_threshold,consecutive_dry_days,season_start_shift,season_length
1950-12-31 00:00:00+00:00,26.7547451316129,737.7645636609999,0.07274734000000008,2874.7306725,2639.3189515,3.9475559726305867,107.76425934964865,2,0,39,0,11.0,0,140
1951-12-31 00:00:00+00:00,26.973228598709674,864.886520543,0.13997614000000022,2857.1990768,2670.59789,5.097087251194865,143.67400169305608,3,0,49,0,21.0,0,136
1952-12-31 00:00:00+00:00,26.461433967311827,1339.732127726,0.11820066000000015,2597.5709033000003,2590.611037,6.4321972843268975,161.25405151061995,6,0,65,0,15.0,1,137
1953-12-31 00:00:00+00:00,27.225788708817202,627.928748481,0.10134728000000018,2963.5725523,2717.4899935,4.787554544517845,144.32833278198615,1,0,39,0,19.0,0,136
1954-12-31 00:00:00+00:00,26.85740107763441,716.39093254,0.07170705000000008,2926.0664038,2655.1689345,4.133972959890478,158.08895975741365,2,0,36,0,20.0,0,146
1955-12-31 00:00:00+00:00,26.683669500215053,770.272791705,0.0981563300000001,2951.3874507,2635.4728784999998,5.431122209236187,175.21182025294243,2,0,39,0,28.0,0,123
1956-12-31 00:00:00+00:00,26.98057377827957,709.8223753120001,0.04369540000000008,2993.3802474000004,2667.861033,5.8149940658294,126.90317686855934,1,0,46,0,8.0,0,146
1957-12-31 00:00:00+00:00,27.46788550322581,495.30117187900004,0.15941498000000015,3004.7544855,2746.9900075,5.5555589330379265,161.9932224806597,0,0,34,0,22.0,3,130
1958-12-31 00:00:00+00:00,26.71543330408602,691.0401070199999,0.030943280000000045,2807.4991963,2635.3939345,3.66723146696282,174.11239621183248,1,0,32,0,22.0,0,130
1959-12-31 00:00:00+00:00,27.613895369892475,553.950548269,0.17027634000000028,3045.705001,2773.52288,6.979416761322031,150.38464560027276,0,0,33,0,48.0,12,137
1960-12-31 00:00:00+00:00,26.952197435483868,825.668864355,0.06297678000000007,2894.6905335,2673.5610465,5.003259347258899,162.97345001226068,4,0,42,0,15.0,0,137
1961-12-31 00:00:00+00:00,27.21090700795699,582.38252734,0.10411491000000017,2965.1030675,2723.3400030000003,6.934841331028825,172.98293069351544,0,0,39,0,22.0,0,130
1962-12-31 00:00:00+00:00,27.13800336172043,491.015295344,0.12779048000000015,2958.5004630000003,2683.5439495,5.538445455936217,145.1681909094356,0,0,34,0,29.0,0,145
1963-12-31 00:00:00+00:00,27.66179857612903,759.829408746,0.1625658700000002,3044.2272606,2774.422886,5.757368639206603,171.6832251896163,2,0,34,0,28.0,4,113
1964-12-31 00:00:00+00:00,27.35784263333333,420.164296995,0.5015589900000004,3073.2825496,2717.636039,6.510511878187658,147.12283685021598,0,0,19,0,42.0,1,138
1965-12-31 00:00:00+00:00,26.771670383225807,867.4010912639999,0.15441674000000022,2736.40163585,2630.7150005,6.42806213002103,156.72823780823373,4,0,35,0,15.0,0,135
1966-12-31 00:00:00+00:00,27.698573206451613,540.167119966,0.15531483000000024,3022.9090479,2787.9439595,6.275890177255188,180.25708158464056,1,0,35,0,29.0,3,120
1967-12-31 00:00:00+00:00,26.968691062365593,618.4204001190001,0.15185112000000017,2977.0900535,2674.422882,4.232274087349927,140.5749730646931,1,0,43,0,42.0,0,139
1968-12-31 00:00:00+00:00,27.93970275075269,515.802294416,0.15199314000000022,3149.9175834,2819.686046,6.449876445357019,173.24200244422988,2,0,27,0,15.0,11,133
1969-12-31 00:00:00+00:00,27.671229562795702,557.35952591,0.13059197000000022,2888.7220623,2770.2649935,5.61460601894559,153.21140880132228,0,0,31,0,22.0,0,130
1970-12-31 00:00:00+00:00,27.0862828716129,518.678282892,0.11971020000000013,3080.455491,2688.9439395,3.748259119192388,148.73124753490646,0,0,23,0,27.0,0,126
1971-12-31 00:00:00+00:00,26.578519065376344,730.665513404,0.09757349000000012,2766.230508,2620.5978795,5.558660285039401,143.48513218809398,0,0,54,0,28.0,0,146
1972-12-31 00:00:00+00:00,27.87907916043011,413.112101858,0.6729776700000003,3171.232009,2801.5110295,4.6544064708101285,140.25440469210199,0,0,23,0,9.0,0,146
1973-12-31 00:00:00+00:00,27.7299929544086,537.689948974,0.16331622000000015,3067.3519836,2760.4149905,5.338428848308861,142.40951598834005,1,0,25,0,18.0,0,132
1974-12-31 00:00:00+00:00,27.442594606021505,605.630701914,0.17784889000000031,3188.7421665,2743.018945,6.9720035935644615,184.31667373618134,2,0,23,0,27.0,0,125
1975-12-31 00:00:00+00:00,27.474691146021506,761.90822432,0.17924772000000028,3075.3969012,2747.5728825,7.133669897976001,191.2564452481931,5,0,32,0,51.0,13,118
1976-12-31 00:00:00+00:00,26.877885527096772,636.4968415239999,0.08781415000000009,2921.5573759,2661.21104,5.148161341469296,160.11021319992935,1,0,44,0,19.0,0,139
1977-12-31 00:00:00+00:00,27.456670402365592,530.56009455,0.10868626000000009,3106.2202998000002,2738.690005,3.825377603982816,157.57953960495067,1,0,18,0,21.0,0,128
1978-12-31 00:00:00+00:00,26.681454875698922,1019.07286653,0.1388698400000002,2802.2235769,2630.2939425,4.9089706068705885,176.30171930879905,3,0,48,0,28.0,1,137
1979-12-31 00:00:00+00:00,27.099207160000002,646.052311226,0.1558009400000002,2841.4880677,2693.0728815,5.429596197737989,143.28167576516432,1,0,50,0,15.0,4,146
1980-12-31 00:00:00+00:00,27.281649013548382,454.751358591,0.1617133200000002,2962.498916,2717.1610355,4.2714691727241645,147.4749706553948,0,0,30,0,17.0,0,136
1981-12-31 00:00:00+00:00,28.206509258494624,428.45085278,0.4927635800000003,3157.413233,2848.140004,5.1474818753313185,183.28956327004389,1,0,21,0,27.0,3,123
1982-12-31 00:00:00+00:00,27.712357990537633,506.958389139,0.1760252600000003,2967.00979,2783.868961,6.650941182884755,159.55195422640915,0,0,39,0,48.0,8,128
1983-12-31 00:00:00+00:00,28.240142636344086,408.10293711500003,0.2237133400000003,3088.6001343,2862.097878,6.587654209263268,155.57100188013519,0,0,31,0,41.0,18,118
1984-12-31 00:00:00+00:00,26.90638023763441,627.300621643,0.10373352000000013,2821.996302,2656.0860355,3.12240676115028,134.24102192102788,1,0,39,0,16.0,0,134
1985-12-31 00:00:00+00:00,27.170982266236557,637.939942274,0.1434765900000002,2898.7389536,2714.015021,6.6558222472505575,182.9795168212263,2,0,43,0,28.0,0,134
1986-12-31 00:00:00+00:00,27.71330421870968,508.609069354,0.1578850700000002,3046.3047224,2768.9189455,4.727022516041191,150.30084281007282,2,0,19,0,25.0,0,125
1987-12-31 00:00:00+00:00,28.257282421075267,585.4082139,0.16995019000000025,3015.8761425000002,2861.922891,8.308644051045317,158.18482189579132,2,0,35,0,36.0,19,134
1988-12-31 00:00:00+00:00,28.486606057204302,327.71048946499997,0.9395017800000005,3172.181721,2891.136035,6.363949665026003,145.6978299527255,0,0,11,0,14.0,0,145
1989-12-31 00:00:00+00:00,27.528734900645162,981.127545495,0.16594758000000023,2913.94877937,2746.9150085,7.071737108785225,190.9726611453435,4,0,34,0,20.0,4,145
1990-12-31 00:00:00+00:00,27.310960250752686,635.7534173399999,0.09864596000000014,2922.5673617,2722.293966,2.534199242045147,144.7666080429517,0,0,34,0,13.0,0,137
1991-12-31 00:00:00+00:00,27.942035140645164,480.877631636,0.21782210000000027,3160.0500129,2805.4728855000003,6.40033745410939,174.462866481085,1,0,21,0,31.0,15,126
1992-12-31 00:00:00+00:00,27.128541610967737,535.244717322,0.09973351000000011,2854.7954025,2684.6610425,3.8028686719910447,138.3531711387516,2,0,35,0,22.0,0,139
1993-12-31 00:00:00+00:00,28.526412353118282,354.50409056800004,0.45840415000000034,3138.3078066,2910.0900014999997,5.088412206822366,170.35379630091924,0,0,15,0,19.0,6,130
1994-12-31 00:00:00+00:00,27.80900325505376,717.5237185980001,0.1459154900000003,2834.6252437,2802.3939465000003,6.559698391187527,160.76313968451495,2,0,49,0,17.0,0,146
1995-12-31 00:00:00+00:00,28.30220727655914,588.1012377019999,0.1441227400000002,3069.6276024999997,2894.0478845,6.367687597629371,177.5725542206559,0,0,45,0,12.0,0,139
1996-12-31 00:00:00+00:00,28.3571652027957,801.478900291,0.10415632000000011,3099.4039101,2881.91103,6.302071413742123,208.11132380805498,1,0,23,0,18.0,0,136
1997-12-31 00:00:00+00:00,28.710369310537637,379.952929523,0.1468278800000002,2971.8822958,2921.5650004999998,3.9538240876865856,149.4786371423334,0,0,24,0,17.0,0,146
1998-12-31 00:00:00+00:00,28.71032578365591,400.66475811,0.2965892100000003,3090.4944885,2929.2939475000003,5.987340286017736,161.44117223876276,0,0,22,0,16.0,13,134
1999-12-31 00:00:00+00:00,26.926185700430107,591.79024827,0.027902970000000027,2769.1317629,2655.7228935000003,3.2380718346483395,133.72441045802626,0,0,31,0,15.0,0,137
2000-12-31 00:00:00+00:00,27.491057669032262,575.59117947,0.0791437500000001,2949.0044302,2753.6110425,3.4892555934235077,142.50114548551863,0,0,30,0,17.0,0,136
2001-12-31 00:00:00+00:00,28.04063813892473,661.64742633,0.1282345900000002,2976.0883473000004,2841.340018,6.4498091522578465,157.7010943741089,1,0,41,0,19.0,0,133
2002-12-31 00:00:00+00:00,28.145981751182795,475.53002591,0.4324921400000004,3189.0978327,2818.9689355,4.171078607973742,151.16466360186826,2,0,14,0,38.0,5,114
2003-12-31 00:00:00+00:00,28.22702438860215,484.611994364,0.18024773000000027,3065.8694809,2866.2978745,5.991972891959269,160.12461967054233,1,0,29,0,39.0,10,119
2004-12-31 00:00:00+00:00,27.755283549677422,648.03283581,0.14774025000000018,2983.9439695,2786.7110350000003,5.221528210484917,157.9556468070483,1,0,36,0,19.0,5,134
2005-12-31 00:00:00+00:00,27.507605769247313,915.83340479,0.10245471000000009,2813.5295012,2755.2150115,3.6139450854465927,155.346287573087,5,0,43,1,15.0,0,137
2006-12-31 00:00:00+00:00,28.3745407855914,833.67080324,0.1494999400000002,2902.5803766,2881.718939,5.90911703020745,219.08259962020463,3,0,25,2,27.0,0,130
2007-12-31 00:00:00+00:00,27.994035168602153,612.226698832,0.16271247000000025,3010.4603385,2824.3478695,5.528573566608299,167.53718040522628,1,0,33,0,27.0,8,130
