filename,LAT,LON,temperature_score_1950_1969,gdd_score_1950_1969,precipitations_score_1950_1969,ext_precipitation_score_1950_1969,soil_moisture_score_1950_1969,wind_score_1950_1969,heat_stress_score_1950_1969,humidity_score_1950_1969,solar_radiation_score_1950_1969,season_start_shift_score_1950_1969,season_length_score_1950_1969,Final_Score_1950_1969,temperature_score_1970_1989,gdd_score_1970_1989,precipitations_score_1970_1989,ext_precipitation_score_1970_1989,soil_moisture_score_1970_1989,wind_score_1970_1989,heat_stress_score_1970_1989,humidity_score_1970_1989,solar_radiation_score_1970_1989,season_start_shift_score_1970_1989,season_length_score_1970_1989,Final_Score_1970_1989,temperature_score_1990_2009,gdd_score_1990_2009,precipitations_score_1990_2009,ext_precipitation_score_1990_2009,soil_moisture_score_1990_2009,wind_score_1990_2009,heat_stress_score_1990_2009,humidity_score_1990_2009,solar_radiation_score_1990_2009,season_start_shift_score_1990_2009,season_length_score_1990_2009,Final_Score_1990_2009,temperature_score_2010_2029,gdd_score_2010_2029,precipitations_score_2010_2029,ext_precipitation_score_2010_2029,soil_moisture_score_2010_2029,wind_score_2010_2029,heat_stress_score_2010_2029,humidity_score_2010_2029,solar_radiation_score_2010_2029,season_start_shift_score_2010_2029,season_length_score_2010_2029,Final_Score_2010_2029,temperature_score_2030_2050,gdd_score_2030_2050,precipitations_score_2030_2050,ext_precipitation_score_2030_2050,soil_moisture_score_2030_2050,wind_score_2030_2050,heat_stress_score_2030_2050,humidity_score_2030_2050,solar_radiation_score_2030_2050,season_start_shift_score_2030_2050,season_length_score_2030_2050,Final_Score_2030_2050
cmip6_era5_data_daily_0,13.462214469909668,-16.056732177734375,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.34,0.2136363636363636,0.0,0.34,0.67,0.0,0.0,0.0,0.0,0.84,0.0,0.5,0.34,0.24454545454545454,0.0,0.34,0.67,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.34,0.25909090909090904,0.0,0.34,0.67,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.17,0.24363636363636362,0.0,0.67,0.84,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.17,0.28909090909090907
cmip6_era5_data_daily_1,13.602811813354492,-13.858856201171877,0.0,0.34,0.67,0.0,0.0,0.0,0.0,0.67,0.0,1.0,0.17,0.2590909090909091,0.17,0.5,0.67,0.0,0.0,0.0,0.0,0.5,0.0,0.67,0.17,0.24363636363636365,0.0,0.67,0.67,0.0,0.0,0.0,0.0,0.5,0.0,0.67,0.34,0.2590909090909091,0.17,0.84,0.67,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.0,0.29,0.34,1.0,0.67,0.0,0.0,0.0,0.34,0.67,0.0,0.67,0.0,0.3354545454545455
cmip6_era5_data_daily_10,13.391915321350098,-15.054840087890623,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.84,0.0,1.0,0.17,0.22818181818181815,0.0,0.34,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.0,0.21363636363636365,0.0,0.5,0.67,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.17,0.2736363636363636,0.0,0.5,0.67,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.0,0.24363636363636362,0.0,0.84,0.67,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.0,0.27454545454545454
cmip6_era5_data_daily_100,13.251317977905272,-16.916046142578125,0.0,0.0,0.67,0.0,1.0,0.0,0.0,0.67,0.0,0.5,0.34,0.28909090909090907,0.0,0.0,0.84,0.0,1.0,0.0,0.0,0.67,0.0,0.5,0.5,0.3190909090909091,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.67,0.0,0.5,0.5,0.3336363636363636,0.0,0.0,0.67,0.0,1.0,0.0,0.0,1.0,0.0,0.34,0.34,0.3045454545454545,0.0,0.34,1.0,0.0,1.0,0.0,0.0,0.84,0.0,0.5,0.34,0.3654545454545454
cmip6_era5_data_daily_101,13.743409156799316,-14.95867919921875,0.0,0.17,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.34,0.2290909090909091,0.0,0.34,0.84,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.34,0.26,0.0,0.67,1.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.34,0.3045454545454545,0.0,0.67,0.67,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.34,0.29,0.17,1.0,0.67,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.34,0.3354545454545454
cmip6_era5_data_daily_102,13.181018829345703,-14.357330322265623,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.84,0.0,1.0,0.0,0.2127272727272727,0.0,0.34,0.67,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.0,0.2290909090909091,0.0,0.5,0.67,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.0,0.2581818181818182,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.84,0.0,0.84,0.0,0.24363636363636362,0.0,0.84,0.67,0.0,0.0,0.0,0.0,0.84,0.0,0.84,0.0,0.29
cmip6_era5_data_daily_103,13.813708305358888,-14.8070068359375,0.0,0.34,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.34,0.24454545454545454,0.0,0.5,0.67,0.0,0.0,0.0,0.0,0.5,0.0,0.67,0.34,0.24363636363636362,0.0,0.67,1.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.34,0.3045454545454545,0.0,0.67,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.34,0.27454545454545454,0.17,1.0,0.84,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.34,0.3354545454545454
cmip6_era5_data_daily_104,13.673110961914062,-14.697235107421877,0.0,0.34,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.84,0.17,0.24454545454545454,0.0,0.5,0.67,0.0,0.0,0.0,0.0,0.5,0.0,0.67,0.34,0.24363636363636362,0.0,0.67,1.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.34,0.3045454545454545,0.0,0.67,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.34,0.27454545454545454,0.17,1.0,0.84,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.34,0.35090909090909084
cmip6_era5_data_daily_105,13.321617126464844,-15.53424072265625,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.0,0.19727272727272727,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.0,0.19727272727272727,0.0,0.34,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.17,0.24363636363636365,0.0,0.34,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.34,0.2590909090909091,0.0,0.84,0.67,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.17,0.3045454545454545
cmip6_era5_data_daily_106,13.743409156799316,-15.12396240234375,0.0,0.34,0.67,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.17,0.24454545454545454,0.0,0.34,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.34,0.24454545454545454,0.0,0.67,0.84,0.0,0.0,0.0,0.0,0.67,0.0,0.5,0.34,0.27454545454545454,0.0,0.67,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.5,0.34,0.2590909090909091,0.17,1.0,0.84,0.0,0.0,0.0,0.0,0.84,0.0,0.67,0.34,0.35090909090909084
